dataset,method,vehicle_id,seg_index,rmse_full_pct,mae_full_pct,maxerr_full_pct,rmse_postconv_pct,mae_postconv_pct,maxerr_postconv_pct,t_conv_strict_s,t_conv_hold_s,t_conv_legacy_s,duration_s,n_samples
BMW_i3,coulomb,bmw_i3,20,23.36905921190233,23.13716629620339,28.000000000000004,,,,,,,1743.5,17436.0
BMW_i3,ocv_lookup,bmw_i3,20,18.784184526910753,11.074281394111809,80.5,3.2218657759991562,3.1707958443836173,4.939574190516138,1729.6,1729.6,243.5,1743.5,17436.0
BMW_i3,ekf,bmw_i3,21,19.864917169742142,19.864786218777216,20.013080978240772,,,,,,,1338.9,13390.0
BMW_i3,coulomb,bmw_i3,21,28.39471385105711,27.844317316897378,35.87499404537034,,,,,,,1338.9,13390.0
BMW_i3,ocv_lookup,bmw_i3,21,37.54159835233157,24.012139851220834,69.9613,1.1115695621023374,1.0703220150521486,1.9464122845055276,1285.1,1285.1,11.6,1338.9,13390.0
BMW_i3,ekf,bmw_i3,22,12.405178823721016,12.405094582820087,12.5144423064814,,,,,,,1397.3,13974.0
BMW_i3,coulomb,bmw_i3,22,16.38809091782062,16.280673456359924,19.099999999999994,,,,,,,1397.3,13974.0
BMW_i3,ocv_lookup,bmw_i3,22,16.114844713523514,15.58776266142019,81.0,,,,,,,1397.3,13974.0
BMW_i3,ekf,bmw_i3,23,16.860010556983713,16.859818187312882,17.025249999999982,,,,,,,1186.9,11870.0
BMW_i3,coulomb,bmw_i3,23,23.80485216745529,23.52542360268651,28.09999999999999,,,,,,,1186.9,11870.0
BMW_i3,ocv_lookup,bmw_i3,23,26.164970446260742,15.340014224950343,80.2,3.0831657215556443,2.9956740865346667,4.960984559252257,1120.4,1120.4,105.5,1186.9,11870.0
BMW_i3,ekf,bmw_i3,24,19.82419355240927,17.891115656091984,66.8,,,,,,,1672.1,16722.0
BMW_i3,coulomb,bmw_i3,24,29.32641663967645,27.598255759904887,40.5,,,,,,,1672.1,16722.0
BMW_i3,ocv_lookup,bmw_i3,24,49.35088300682878,40.4016578533725,84.9,,,,,,434.0,1672.1,16722.0
BMW_i3,ekf,bmw_i3,25,16.436034117865194,14.843615464609453,41.97153839144714,,,,,,,3251.7,32518.0
BMW_i3,coulomb,bmw_i3,25,29.49682236806213,28.303285039596034,42.6,,,,,,,3251.7,32518.0
BMW_i3,ocv_lookup,bmw_i3,25,45.70614271913554,34.805834704335396,85.6,,,,,,498.4,3251.7,32518.0
BMW_i3,ekf,bmw_i3,26,12.807154661238831,12.742513302141978,17.110123148148237,,,,,,,1611.2,16113.0
BMW_i3,coulomb,bmw_i3,26,26.224432024934885,25.85671796479033,33.900000000000006,,,,,,,1611.2,16113.0
BMW_i3,ocv_lookup,bmw_i3,26,35.919279693975135,21.964002033550063,79.7,1.8124798953852623,1.4549492065700118,3.7991958250685465,1592.4,1592.4,39.3,1611.2,16113.0
BMW_i3,ekf,bmw_i3,27,27.783957514840385,26.35969972980036,58.20000000000001,,,,,,,1579.3,15794.0
BMW_i3,coulomb,bmw_i3,27,36.790867455129266,35.684965422435404,49.7,,,,,,,1579.3,15794.0
BMW_i3,ocv_lookup,bmw_i3,27,55.64415431805022,52.96645537593082,67.1,,,,,,58.4,1579.3,15794.0
BMW_i3,ekf,bmw_i3,28,13.762261767938869,10.831093863090956,23.22987741759025,,,,,1241.0,0.0,2954.9,29550.0
BMW_i3,coulomb,bmw_i3,28,28.75500698324639,26.211874368255284,46.49077037037042,,,,,,1526.9,2954.9,29550.0
BMW_i3,ocv_lookup,bmw_i3,28,37.83544478727578,35.851378673597445,70.6,,,,,,2534.7,2954.9,29550.0
BMW_i3,ekf,bmw_i3,29,19.792513930982874,19.792299008097817,20.00163333333337,,,,,,,1019.3,10194.0
BMW_i3,coulomb,bmw_i3,29,33.72066914715867,32.91296915801053,40.5,,,,,,,1019.3,10194.0
BMW_i3,ocv_lookup,bmw_i3,29,55.78278707919326,49.818462898777774,71.4,,,,,,0.0,1019.3,10194.0
BMW_i3,ekf,bmw_i3,30,14.628696932618945,14.628453224563549,14.873068981481497,,,,,,,1351.9,13520.0
BMW_i3,coulomb,bmw_i3,30,26.277667902337527,25.86381474002849,30.700000000000006,,,,,,,1351.9,13520.0
BMW_i3,ocv_lookup,bmw_i3,30,31.85996636126303,18.335823632130936,82.6,,,,,,223.1,1351.9,13520.0
BMW_i3,ekf,bmw_i3,31,17.33049902223337,16.227216818704466,23.111945896532138,,,,,,1170.2,1872.3,18724.0
BMW_i3,coulomb,bmw_i3,31,38.443501153238955,37.25716863638568,49.7,,,,,,,1872.3,18724.0
BMW_i3,ocv_lookup,bmw_i3,31,51.107200154787435,46.42155739447107,67.4,,,,,,0.0,1872.3,18724.0
BMW_i3,ekf,bmw_i3,32,31.080359305861045,29.2174766962732,58.20000000000001,,,,,,,2913.8,29139.0
BMW_i3,coulomb,bmw_i3,32,40.795200799631324,39.25654700344327,56.00000000000001,,,,,,,2913.8,29139.0
BMW_i3,ocv_lookup,bmw_i3,32,55.85582015166881,54.68573202142733,67.0,,,,,,0.0,2913.8,29139.0
BMW_i3,ekf,bmw_i3,33,21.81700206746736,21.54156739819446,28.21436567275587,,,,,,,3556.0,35561.0
BMW_i3,coulomb,bmw_i3,33,53.05828486786122,50.53711979357066,73.0,,,,,,,3556.0,35561.0
BMW_i3,ocv_lookup,bmw_i3,33,47.437084521216136,44.407575997187976,69.8,,,,,,0.0,3556.0,35561.0
BMW_i3,ekf,bmw_i3,34,10.330614461925776,9.777296494589846,13.199351851851848,,,,,,982.2,2023.0,20231.0
BMW_i3,coulomb,bmw_i3,34,40.23646172896271,36.712990512360015,61.0,,,,,,,2023.0,20231.0
BMW_i3,ocv_lookup,bmw_i3,34,53.009551591501335,48.07366905930942,84.5,,,,,,493.3,2023.0,20231.0
BMW_i3,ekf,bmw_i3,35,19.91613164732221,19.915988745010534,20.060556018518522,,,,,,,753.1,7532.0
BMW_i3,coulomb,bmw_i3,35,28.00315332051036,27.394180410987186,36.83547407407404,,,,,,,753.1,7532.0
BMW_i3,ocv_lookup,bmw_i3,35,35.36321595544018,35.24713621879979,38.9,,,,,,,753.1,7532.0
BMW_i3,ekf,bmw_i3,36,17.605584782749176,16.020058743962135,36.050096382847286,2.0546557339234717,1.8348475189950615,3.086951338481103,2551.8,2551.8,2551.8,3225.4,32255.0
BMW_i3,coulomb,bmw_i3,36,38.488113405314316,38.00503042641969,48.699999999999996,,,,,,,3225.4,32255.0
