seg_index,vehicle_id,rmse_full_pct,outcome,t_conv_strict_s,innov_mean_mV,innov_std_mV,innov_lag1_autocorr,innov_soc_struct_rms_mV,frac_flat_ocv,dt_median_s,I_quant_step_A,duration_s,soh_end,r_int_end_mOhm
81,VehId_0010,6.470825634580152,recovered,,1.202529491632825,64.75676591431635,-0.00016769863528197577,,0.0,0.3999999999999986,0.25,368.7,1.0,14.863403253241758
82,VehId_0010,11.6760042902391,converged,575.4,1.1382421747590672,57.107922051020694,-0.011774504754854549,,0.38071065989847713,0.3999999999999986,0.25,694.3,0.7886159965618637,14.929491731935872
83,VehId_0010,29.310193376493903,diverged,,0.7298364542686402,38.132483941656226,0.014717080481438358,,0.0,0.3999999999999986,0.25,423.9,0.6739789889896407,9.786140288105523
84,VehId_0010,23.37045570154102,diverged,,-0.72650240895773,45.322730283554264,0.0304878463161434,,0.0,0.30000000000001137,0.25,524.4,0.5490273103128022,11.732356001252018
85,VehId_0010,6.1859064582602015,converged,960.8,2.531366681410268,49.373696093837886,0.009121612849148005,,1.0,0.39999999999997726,0.25,963.9,0.5707799369507466,12.645283531960358
86,VehId_0010,28.22968038539923,diverged,,1.0180901846089128,14.44547922814457,0.10621450574042808,,1.0,0.4000000000000341,0.25,598.6,0.7580037991692243,3.2053400377424297
87,VehId_0010,1.376670579226539,converged,0.0,1.6122387936456446,73.70286194525747,0.003577696977809843,,1.0,0.30000000000001137,0.25,588.8,1.0,14.839950567146762
88,VehId_0010,24.860575143925875,diverged,,1.5621821423539755,58.96831245040512,-0.023388714877995424,,1.0,0.39999999999997726,0.25,763.2,0.5897041619780095,14.392458514097711
89,VehId_0010,38.613344966328484,diverged,,-0.31788901255105884,53.86210574596748,0.011856772764356602,,0.28846153846153844,0.39999999999997726,0.25,459.2,0.5688387416104275,13.883851468844522
90,VehId_0010,31.154276436483556,diverged,,0.8424330886823262,30.172867121903593,0.007158840897840765,,0.0,0.4000000000000341,0.25,489.8,0.6837115583421595,6.124229694009764
91,VehId_0010,43.77010201117173,diverged,,-0.3664991489041214,36.49177453440478,0.047468915782567324,,0.0,0.35000000000002274,0.25,581.4,0.5883502335254706,9.953777366960999
92,VehId_0010,6.512758808005641,diverged,,1.8955749353493692,42.46368622830321,-0.0011650493192238306,,0.43260188087774293,0.599999999999909,0.25,3876.9,0.5409415506310257,13.44863665302748
