# generated 20260719T195455Z by data/make_before_after.py; before = results/pre_sign_fix_snapshot (pre-fix), after = regenerated post-fix; TOL=0.005
table,dataset,method,key,metric,before,after,delta,was_inverted_before,changed
main_table.csv,Deng_BAIC_EU500,ekf,Deng_BAIC_EU500|ekf,conv_rate_strict,0.839,0.839,0.0,False,False
main_table.csv,Deng_BAIC_EU500,ekf,Deng_BAIC_EU500|ekf,conv_rate_legacy,0.9095,0.9095,0.0,False,False
main_table.csv,Deng_BAIC_EU500,ocv_lookup,Deng_BAIC_EU500|ocv_lookup,rmse_full_median,6.347978911877719,6.347978911877719,0.0,False,False
main_table.csv,Deng_BAIC_EU500,ocv_lookup,Deng_BAIC_EU500|ocv_lookup,rmse_full_mean,6.051591944027226,6.051591944027226,0.0,False,False
main_table.csv,Deng_BAIC_EU500,ocv_lookup,Deng_BAIC_EU500|ocv_lookup,mae_full_median,5.3012011638026735,5.3012011638026735,0.0,False,False
main_table.csv,Deng_BAIC_EU500,ocv_lookup,Deng_BAIC_EU500|ocv_lookup,conv_rate_strict,0.7475,0.7475,0.0,False,False
main_table.csv,Deng_BAIC_EU500,ocv_lookup,Deng_BAIC_EU500|ocv_lookup,conv_rate_legacy,0.956,0.956,0.0,False,False
main_table.csv,Parallel_Module,coulomb,Parallel_Module|coulomb,rmse_full_median,17.751808444485857,17.751808444485857,0.0,False,False
main_table.csv,Parallel_Module,coulomb,Parallel_Module|coulomb,rmse_full_mean,15.32768827243734,15.32768827243734,0.0,False,False
main_table.csv,Parallel_Module,coulomb,Parallel_Module|coulomb,mae_full_median,17.70099736947074,17.70099736947074,0.0,False,False
main_table.csv,Parallel_Module,coulomb,Parallel_Module|coulomb,conv_rate_strict,0.18981481481481483,0.18981481481481483,0.0,False,False
main_table.csv,Parallel_Module,coulomb,Parallel_Module|coulomb,conv_rate_legacy,0.18981481481481483,0.18981481481481483,0.0,False,False
main_table.csv,Parallel_Module,ekf,Parallel_Module|ekf,rmse_full_median,15.566347634336054,16.893490459749884,1.32714282541383,True,True
main_table.csv,Parallel_Module,ekf,Parallel_Module|ekf,rmse_full_mean,15.49114041642208,15.412460414771852,-0.0786800016502287,True,True
main_table.csv,Parallel_Module,ekf,Parallel_Module|ekf,mae_full_median,15.299536943616701,16.482415103884332,1.1828781602676308,True,True
main_table.csv,Parallel_Module,ekf,Parallel_Module|ekf,conv_rate_strict,0.26851851851851855,0.26851851851851855,0.0,True,False
main_table.csv,Parallel_Module,ekf,Parallel_Module|ekf,conv_rate_legacy,0.2638888888888889,0.24537037037037038,-0.018518518518518517,True,True
main_table.csv,Parallel_Module,ocv_lookup,Parallel_Module|ocv_lookup,rmse_full_median,16.31903716845111,16.31903716845111,0.0,False,False
main_table.csv,Parallel_Module,ocv_lookup,Parallel_Module|ocv_lookup,rmse_full_mean,21.07470182494247,21.07470182494247,0.0,False,False
main_table.csv,Parallel_Module,ocv_lookup,Parallel_Module|ocv_lookup,mae_full_median,14.363827525082318,14.363827525082318,0.0,False,False
main_table.csv,Parallel_Module,ocv_lookup,Parallel_Module|ocv_lookup,conv_rate_strict,0.24074074074074073,0.24074074074074073,0.0,False,False
main_table.csv,Parallel_Module,ocv_lookup,Parallel_Module|ocv_lookup,conv_rate_legacy,0.16666666666666666,0.16666666666666666,0.0,False,False
main_table.csv,VED,coulomb,VED|coulomb,rmse_full_median,20.811915828714227,19.747631016093116,-1.0642848126211106,True,True
main_table.csv,VED,coulomb,VED|coulomb,rmse_full_mean,16.04606797690447,14.025233790271127,-2.020834186633344,True,True
main_table.csv,VED,coulomb,VED|coulomb,mae_full_median,20.763839400979172,19.746941570737818,-1.016897830241355,True,True
main_table.csv,VED,coulomb,VED|coulomb,conv_rate_strict,0.15441176470588236,0.26715686274509803,0.11274509803921567,True,True
main_table.csv,VED,coulomb,VED|coulomb,conv_rate_legacy,0.3112745098039216,0.3112745098039216,0.0,True,False
main_table.csv,VED,ekf,VED|ekf,rmse_full_median,23.978649970719403,23.978649970719403,0.0,False,False
main_table.csv,VED,ekf,VED|ekf,rmse_full_mean,25.7104851712867,25.7104851712867,0.0,False,False
