# generated by analysis/run_ablation.py 20260720T054306Z (git 9b749c0); +20pp protocol, sign-corrected data; 'full' cross-checked byte-identical to committed reports
# Calibration split: 10% of segments per vehicle for the fleet datasets (BMW i3, Deng, VED); 40% per cell for CALCE and 30% per module for UMich/Ford — data-size-driven exceptions, decided before evaluation (see data/soc_baseline_benchmark_calce.py / _module.py).
# All SOC errors in percentage points; every estimator (including coulomb counting) starts from the same deliberately wrong initial SOC.
# Initial SOC is clipped to [2%, 98%], so trips starting near a rail receive LESS than the nominal offset; this materially lowers the coulomb baseline's aggregate stress-test RMSE in 23 of 45 dataset×offset cells (e.g. +20 pp: 43% of BMW and 51% of VED trips clipped; clipped-trip coulomb RMSE ~2–12 pp vs ~20 pp unclipped) — a protocol artifact, not estimator skill; medians are far less affected than means. Full grid: results/coulomb_clipping_diagnostic.csv.
dataset,variant,n_trips,n_errors,rmse_median,rmse_q25,rmse_q75,rmse_mean,mae_median,conv_rate_strict,rate_recovered,rate_diverged,t_conv_strict_median_s
VED,const_Q,408,0,21.401112791581014,10.994496087116643,40.862855761248824,28.25431115988093,21.11998979925802,0.14705882352941177,0.07352941176470588,0.7794117647058824,209.14999999999998
VED,slow_loops_on,408,0,23.978649970719403,11.490505351629652,34.73550994937075,25.7104851712867,22.04081876683847,0.16176470588235295,0.10784313725490197,0.7303921568627451,138.7
VED,slow_loops_off,408,0,18.40880431091177,6.835044324099341,31.23858740130961,21.75173500586098,16.92028289515108,0.2034313725490196,0.12745098039215685,0.6691176470588235,46.6
VED,joseph_form,408,0,24.015455229917638,11.279723799892555,34.52438170337236,25.54325275883721,22.5398997284914,0.14705882352941177,0.11029411764705882,0.7426470588235294,0.1
CALCE_A123,full,26,0,31.704197880461972,18.50601283027794,61.3989190479368,38.27924479661326,28.05930599224444,0.2692307692307692,0.038461538461538464,0.6923076923076923,918.0314589158661
CALCE_A123,coupled_dcal_H,26,0,30.94039699423324,24.753941048157348,43.37556650084393,34.32872669137882,26.428627108988557,0.23076923076923078,0.038461538461538464,0.7307692307692307,1647.3345970308756
CALCE_A123,no_corrections,26,0,29.087974739316756,18.755911941422124,42.13900302493045,33.53467833148723,26.594802366029747,0.23076923076923078,0.11538461538461539,0.6538461538461539,1036.990732724169
CALCE_A123,dR0_only,26,0,34.67564936043503,22.637281574565165,47.939545062417864,37.931259832878546,30.31122358689584,0.23076923076923078,0.038461538461538464,0.7307692307692307,835.986954560627
CALCE_A123,dV_only,26,0,28.687965730762997,20.048369848704834,45.30118098079559,35.239209111909595,26.59507352739088,0.2692307692307692,0.07692307692307693,0.6538461538461539,1207.4964196952933
CALCE_A123,const_Q,26,0,29.59725584027351,19.99711770351171,56.83883970130857,38.78840450968284,26.59906469794752,0.3076923076923077,0.11538461538461539,0.5769230769230769,1097.8101223346357
CALCE_A123,slow_loops_on,26,0,37.49259064116994,21.627370838625325,61.584327830787785,40.35782211604452,31.648579110311537,0.2692307692307692,0.038461538461538464,0.6923076923076923,918.0314589158661
CALCE_A123,slow_loops_off,26,0,35.46871099746799,20.79619849152299,60.81913175443127,39.74502360219373,34.532759130885054,0.3076923076923077,0.038461538461538464,0.6538461538461539,1097.8101223346357
CALCE_A123,joseph_form,26,0,34.76391188224257,20.939756686534764,61.39896185019934,39.10801785397395,29.704657303221154,0.3076923076923077,0.038461538461538464,0.6538461538461539,1097.8101223346357
Parallel_Module,full,216,0,16.893490459749884,6.807030653757741,21.17474853795755,15.412460414771852,16.482415103884332,0.26851851851851855,0.08796296296296297,0.6435185185185185,0.0
Parallel_Module,coupled_dcal_H,216,0,16.57739621513945,9.018488792415605,30.29708886517703,21.76727382295826,16.26990434328063,0.23148148148148148,0.13425925925925927,0.6342592592592593,177.5
Parallel_Module,no_corrections,216,0,16.447973992326386,5.951395111681792,21.65813445645947,15.483245478465774,16.211274735466546,0.25,0.11574074074074074,0.6342592592592593,0.0
Parallel_Module,dR0_only,216,0,16.816630850422353,5.519543756690894,21.11924904505212,15.335859526925153,16.67983454826161,0.2777777777777778,0.07407407407407407,0.6481481481481481,0.0
Parallel_Module,dV_only,216,0,16.621245762471087,4.953821662002696,22.05048872372391,15.481510861124143,16.33999129923106,0.2638888888888889,0.09259259259259259,0.6435185185185185,0.0
Parallel_Module,const_Q,216,0,18.175845881223303,9.957089413734774,28.97251066834791,21.58167794460591,17.849590439221366,0.20833333333333334,0.07407407407407407,0.7175925925925926,0.0
Parallel_Module,slow_loops_on,216,0,16.698994900745756,6.638489256829111,21.141272670519413,15.380224832678731,16.482415103884332,0.26851851851851855,0.08796296296296297,0.6435185185185185,0.0
Parallel_Module,slow_loops_off,216,0,17.050458752510266,6.82726441494712,21.23648185417167,15.423358070746682,16.902922985505057,0.25925925925925924,0.08333333333333333,0.6574074074074074,0.0
Parallel_Module,joseph_form,216,0,16.893490459749884,6.805669723992119,21.174748539862943,15.424499483091859,16.604452253187077,0.2638888888888889,0.08796296296296297,0.6481481481481481,0.0
