# regenerated by data/regen_tables_from_dump.py 20260719T195435Z (git 9b749c0) from offset_sweep_per_trip_20260719T193500Z.csv; wide-grid θ; changed fleets vs narrow grid: none; my_ekf/coulomb/ocv_lookup rows from the cross-checked sweep
# ocv_lookup is init-independent: identical values replicated across offset rows by construction
# censoring threshold per dataset = EKF median strict t_conv at +20pp
# Calibration split: 10% of segments per vehicle for the fleet datasets (BMW i3, Deng, VED); 40% per cell for CALCE and 30% per module for UMich/Ford — data-size-driven exceptions, decided before evaluation (see data/soc_baseline_benchmark_calce.py / _module.py).
# All SOC errors in percentage points; every estimator (including coulomb counting) starts from the same deliberately wrong initial SOC.
# Initial SOC is clipped to [2%, 98%], so trips starting near a rail receive LESS than the nominal offset; this materially lowers the coulomb baseline's aggregate stress-test RMSE in 23 of 45 dataset×offset cells (e.g. +20 pp: 43% of BMW and 51% of VED trips clipped; clipped-trip coulomb RMSE ~2–12 pp vs ~20 pp unclipped) — a protocol artifact, not estimator skill; medians are far less affected than means. Full grid: results/coulomb_clipping_diagnostic.csv.
dataset,method,offset_pp,n_trips,n_errors,rmse_median,rmse_q25,rmse_q75,rmse_mean,mae_median,maxerr_median,rmse_postconv_median,err_end_median,conv_rate_strict,conv_rate_hold,conv_rate_legacy,rate_recovered,rate_diverged,t_conv_strict_median_s,t_conv_hold_median_s,t_conv_legacy_median_s,n_censored,conv_rate_strict_censaware,mean_applied_offset_pp
VED,my_ekf,20,408,0,23.978649970719403,11.490505351629652,34.73550994937075,25.7104851712867,22.04081876683847,31.852891269110234,1.6729865268518915,25.407038497856234,0.16176470588235295,0.19852941176470587,0.375,0.10784313725490197,0.7303921568627451,138.7,0.0,0.0,11,0.16624685138539042,12.14293268615147
VED,rbc_dekf,20,408,0,20.997899076295777,9.348853021313271,34.0421610140794,23.47212117141675,19.79060218974471,27.52640109593354,1.6165996105358706,21.833044255583367,0.1715686274509804,0.19852941176470587,0.3897058823529412,0.12990196078431374,0.6985294117647058,36.4,0.0,0.0,11,0.17632241813602015,12.14293268615147
VED,rbc_coupled,20,408,0,20.35191195825164,8.901636245320958,32.49024572163589,22.229047083723078,19.046495431634476,27.393263808044733,1.593979720492766,21.882135622219852,0.17647058823529413,0.19852941176470587,0.3897058823529412,0.09068627450980392,0.7328431372549019,23.700000000000003,0.0,0.0,12,0.18181818181818182,12.14293268615147
VED,coulomb,20,408,0,19.747631016093116,3.5343091288367257,20.685938588920838,14.025233790271127,19.746941570737818,20.304542202411106,2.6560606923315393,20.004569057911112,0.26715686274509803,0.2818627450980392,0.3112745098039216,0.061274509803921566,0.6715686274509803,0.0,0.0,0.0,11,0.27455919395465994,12.14293268615147
VED,ocv_lookup,20,408,0,11.397284306769055,7.6724909197162665,20.80412965258312,14.825227019007281,9.250358406546312,31.201316249109187,2.6968796539979953,8.567102999701163,0.35294117647058826,0.36519607843137253,0.7843137254901961,0.2181372549019608,0.42892156862745096,443.6,418.9,29.55,11,0.36272040302267,
CALCE_A123,my_ekf,20,26,0,31.704197880461972,18.50601283027794,61.3989190479368,38.27924479661326,28.05930599224444,51.05219895111277,2.8475517568522455,27.41248708333103,0.2692307692307692,0.34615384615384615,0.5,0.038461538461538464,0.6923076923076923,918.0314589158661,623.8402332387341,494.36911353421965,1,0.28,16.112881756817128
CALCE_A123,rbc_dekf,20,26,0,26.795969751849988,18.629956949610456,46.06246579960339,34.023036816724364,24.960071642816853,46.34986252290334,3.3985216459245455,18.14581979606455,0.3076923076923077,0.38461538461538464,0.4230769230769231,0.07692307692307693,0.6153846153846154,1572.5516691889734,1111.7696642900373,623.8402332387341,1,0.32,16.112881756817128
CALCE_A123,rbc_coupled,20,26,0,21.93926923686456,12.807609984237862,30.77715380946358,22.89600867206076,20.446047161806433,40.80236043444182,3.089329519397788,19.22370015120766,0.2692307692307692,0.34615384615384615,0.5,0.15384615384615385,0.5769230769230769,918.0314589158661,745.3862149339075,189.91741037658358,1,0.28,16.112881756817128
CALCE_A123,coulomb,20,26,0,19.889721299855303,13.63074540121304,19.98873678180686,15.663319726305382,19.88963086047361,20.021768179300548,1.386707586837508,19.790990522117504,0.23076923076923078,0.23076923076923078,0.23076923076923078,0.07692307692307693,0.6923076923076923,0.0,0.0,0.0,1,0.24,16.112881756817128
CALCE_A123,ocv_lookup,20,26,0,34.679438261304156,23.924944436212318,52.97300855452059,36.81458850586005,31.296832864707667,81.68234746950438,1.9372292178345438,23.718069679845406,0.2692307692307692,0.38461538461538464,0.6153846153846154,0.15384615384615385,0.5769230769230769,1252.5640313123367,710.4622726506768,578.3416289332636,0,0.2692307692307692,
Parallel_Module,my_ekf,20,216,0,16.893490459749884,6.807030653757741,21.17474853795755,15.412460414771852,16.482415103884332,20.002552495493514,1.9086760339069544,14.444147418353554,0.26851851851851855,0.27314814814814814,0.24537037037037038,0.08796296296296297,0.6435185185185185,0.0,0.0,0.0,0,0.26851851851851855,15.100945999836666
Parallel_Module,rbc_dekf,20,216,0,16.57309651115238,5.46292836257392,21.734380399818562,15.167976678881704,16.306938329581754,19.977702219434562,1.4264941196329768,14.535669166218668,0.23148148148148148,0.25462962962962965,0.25462962962962965,0.1111111111111111,0.6574074074074074,0.0,0.0,0.0,0,0.23148148148148148,15.100945999836666
Parallel_Module,rbc_coupled,20,216,0,17.295108031675092,8.313496273849552,22.112797093053974,15.647148793325893,17.180643193692113,20.00051294267872,1.380945540300602,15.359154650403887,0.2037037037037037,0.20833333333333334,0.20833333333333334,0.08333333333333333,0.7129629629629629,0.0,0.0,0.0,0,0.2037037037037037,15.100945999836666
Parallel_Module,coulomb,20,216,0,17.751808444485857,10.460940641413057,22.223788872983057,15.32768827243734,17.70099736947074,20.0,1.6210020416722086,15.625809655915084,0.18981481481481483,0.18981481481481483,0.18981481481481483,0.05555555555555555,0.7546296296296297,0.0,0.0,0.0,0,0.18981481481481483,15.100945999836666
Parallel_Module,ocv_lookup,20,216,0,16.31903716845111,9.427282002332035,28.29790907964389,21.07470182494247,14.363827525082318,25.013926654368845,2.7130976721292166,14.707555602720415,0.24074074074074073,0.2638888888888889,0.16666666666666666,0.1388888888888889,0.6203703703703703,635.0,460.0,0.0,0,0.24074074074074073,
